uf,numeroZE,numeroLocalVotacao,nome,endereco,quantidadeSecoes,latitude,longitude
DF,6,1570,CENTRO DE ENSINO FUNDAMENTAL ARAPOANGA,ÁREA ESPECIAL COND. ARAPOANGA,14,-15.640276,-47.6406895
DF,6,1589,ESCOLA CLASSE 03,Q.1/2 PROJEÇÃO G-SRL,9,-15.61528083,-47.64606104
DF,6,1597,ESCOLA CLASSE 04,EQ 3/4 PROJEÇÃO G SRL,10,-15.6212997,-47.6462299
DF,6,1600,ESCOLA CLASSE 07,QUADRA 45 BAIRRO NOSSA SRA FÁTIMA,7,-15.6422838,-47.6637212
DF,6,1619,ESCOLA CLASSE 09,LOTE 01 VIA WL 01-SRN,4,-15.6104549,-47.6451059
DF,6,1635,ESCOLA CLASSE 11,EQ 4/5 SETOR RESIDENCIAL NORTE,10,-15.603334,-47.6460613
DF,6,1643,ESCOLA CLASSE 13,EQ 6/7 SETOR RESIDENCIAL NORTE,7,-15.60347372,-47.64287504
DF,6,1651,ESCOLA CLASSE 14,QD 13 CONJ A LT 01 BURITIS III,11,-15.61384101,-47.63190345
DF,6,1660,ESCOLA CLASSE APRODARMAS,FAZENDA MESTRE DARMAS,2,-15.6642626,-47.6574224
DF,6,1678,ESCOLA CLASSE ESTÂNCIA,DF 14 LT 63/67 COND. ESTÂNCIA PLANALTINA,12,-15.6057955,-47.6701594
DF,6,1686,CENTRO EDUCACIONAL OSORIO BACCHIN,GLEBA G LOTE 22 NÚCLEO RURAL JARDIM MORUMBI,3,-15.5268748,-47.6303645
DF,6,1694,ESCOLA CLASSE RAJADINHA,DF 006 NÚCLEO RURAL RAJADINHA,3,-15.7536796,-47.6506491
DF,6,1716,CENTRO EDUCACIONAL STELLA DOS CHERUBINS GUIMARÃES TROIS,RUA HUGO LOBO QD 97 AREA ESPECIAL,11,-15.63104,-47.6599327
DF,6,1759,ESCOLA CLASSE VALE DO SOL,COND VALE DO SOL DF 134 AREA ESPECIAL LT 1/6,5,-15.6543682,-47.6514303
DF,6,1813,CENTRO DE ENSINO FUNDAMENTAL 01,SETOR EDUCACIONAL LT M,12,-15.6223843,-47.6540826
DF,6,1821,CENTRO DE ENSINO ESPECIAL 01,SETOR EDUCACIONAL LT 01,2,-15.6196724,-47.6538776
DF,6,1856,CENTRO EDUCACIONAL VALE DO AMANHECER,AE 03 LOTE 01-VILA PACHECO,10,-15.6798237,-47.6566691
DF,6,1864,CENTRO EDUCACIONAL POMPILIO MARQUES DE SOUZA,COND. MESTRE D'ARMAS MOD 1 LOTE 13,13,-15.5993133,-47.6830344
DF,6,1872,ESCOLA CLASSE 01 DO ARAPOANGA,EQ 15/16 CONJ. I AREA ESPECIAL-ARAPOANGA,14,-15.6397664,-47.6359265
DF,6,1880,ESCOLA CLASSE 16,COND. NOVA PLANALTINA Q. 01 RUA A ÁREA ESPECIAL,15,-15.6192448,-47.6812183
